Type d'acte;Année;Arrondissement;Nombres
Décès;2007;5ème arrdt;572
Décès;2020;7ème arrdt;189
Décès;2007;10ème arrdt;1454
Décès;2020;10ème arrdt;1463
Décès;2007;14ème arrdt;1751
PACS;2017;10ème arrdt;165
Décès;2008;2ème arrdt;39
PACS;2018;1er arrdt;81
Décès;2008;19ème arrdt;488
PACS;2018;13ème arrdt;730
Décès;2009;9ème arrdt;91
PACS;2019;15ème arrdt;941
Décès;2010;18ème arrdt;1392
PACS;2019;17ème arrdt;687
Décès;2011;2ème arrdt;32
PACS;2020;4ème arrdt;86
Décès;2011;6ème arrdt;96
PACS;2020;5ème arrdt;188
Décès;2011;17ème arrdt;389
Décès;2014;14ème arrdt;1962
Décès;2015;15ème arrdt;3522
Décès;2016;10ème arrdt;1262
Décès;2016;11ème arrdt;234
Décès;2016;20ème arrdt;1047
Décès;2017;8ème arrdt;78
Décès;2017;11ème arrdt;283
Décès;2017;16ème arrdt;1121
Décès;2018;1er arrdt;34
Décès;2018;6ème arrdt;117
Décès;2018;8ème arrdt;86
Décès;2018;16ème arrdt;1012
Décès;2018;17ème arrdt;347
Décès;2019;19ème arrdt;1112
Décès;2020;19ème arrdt;1289
PACS;2017;4ème arrdt;37
PACS;2017;15ème arrdt;326
PACS;2017;19ème arrdt;154
PACS;2018;7ème arrdt;109
Naissances;2005;16ème arrdt;1255
Naissances;2005;20ème arrdt;2281
Naissances;2012;10ème arrdt;2475
Naissances;2012;15ème arrdt;5379
Naissances;2013;14ème arrdt;10279
Naissances;2014;11ème arrdt;10
Naissances;2014;19ème arrdt;3050
Naissances;2015;15ème arrdt;5902
Naissances;2016;18ème arrdt;2222
Naissances;2017;15ème arrdt;6059
Naissances;2018;12ème arrdt;9384
Naissances;2018;16ème arrdt;1125
Naissances;2019;6ème arrdt;1
Naissances;2019;16ème arrdt;1161
Reconnaissances;2004;2ème arrdt;147
Reconnaissances;2004;9ème arrdt;339
Reconnaissances;2004;16ème arrdt;522
Reconnaissances;2005;9ème arrdt;296
Reconnaissances;2006;20ème arrdt;1161
Reconnaissances;2008;2ème arrdt;89
Reconnaissances;2008;6ème arrdt;85
Reconnaissances;2010;20ème arrdt;1080
Reconnaissances;2012;11ème arrdt;752
Reconnaissances;2013;19ème arrdt;1050
Reconnaissances;2014;3ème arrdt;135
Reconnaissances;2014;10ème arrdt;482
Reconnaissances;2014;13ème arrdt;995
Reconnaissances;2016;1er arrdt;55
Reconnaissances;2016;10ème arrdt;502
Reconnaissances;2016;13ème arrdt;959
Reconnaissances;2018;9ème arrdt;237
Reconnaissances;2018;11ème arrdt;629
Reconnaissances;2019;5ème arrdt;123
Reconnaissances;2019;13ème arrdt;815
Reconnaissances;2019;19ème arrdt;725
Mariages;2005;1er arrdt;115
Mariages;2005;9ème arrdt;338
Mariages;2007;17ème arrdt;557
Mariages;2009;1er arrdt;99
Mariages;2012;9ème arrdt;238
Mariages;2014;15ème arrdt;1029
Mariages;2016;1er arrdt;116
Mariages;2016;4ème arrdt;143
Mariages;2018;14ème arrdt;562
Mariages;2019;7ème arrdt;278
Décès;2004;20ème arrdt;1318
Décès;2005;5ème arrdt;612
Décès;2007;18ème arrdt;1545
Décès;2009;7ème arrdt;192
Décès;2010;9ème arrdt;86
Décès;2011;8ème arrdt;108
Décès;2012;18ème arrdt;1385
Décès;2014;3ème arrdt;51
Décès;2014;16ème arrdt;954
Décès;2015;9ème arrdt;104
Décès;2017;7ème arrdt;178
Décès;2018;12ème arrdt;1562
Décès;2020;5ème arrdt;382
PACS;2019;2ème arrdt;129
PACS;2020;8ème arrdt;114
PACS;2020;9ème arrdt;278
PACS;2020;20ème arrdt;557
Naissances;2004;9ème arrdt;3
Naissances;2004;14ème arrdt;10623
Naissances;2005;6ème arrdt;0
Naissances;2007;8ème arrdt;2
Naissances;2007;14ème arrdt;10199
Naissances;2008;13ème arrdt;3321
Naissances;2009;9ème arrdt;4
Naissances;2009;10ème arrdt;2481
Naissances;2010;10ème arrdt;2563
Naissances;2011;2ème arrdt;1
Naissances;2011;5ème arrdt;3
Naissances;2011;10ème arrdt;2440
Naissances;2012;19ème arrdt;3004
Naissances;2013;11ème arrdt;7
Naissances;2013;20ème arrdt;2786
Naissances;2015;18ème arrdt;2229
Naissances;2016;6ème arrdt;1
Naissances;2017;5ème arrdt;5
Naissances;2019;10ème arrdt;2431
Naissances;2019;12ème arrdt;9648
Reconnaissances;2006;13ème arrdt;1276
Reconnaissances;2007;19ème arrdt;1107
Reconnaissances;2008;10ème arrdt;606
Reconnaissances;2013;15ème arrdt;841
Reconnaissances;2014;5ème arrdt;160
Reconnaissances;2015;10ème arrdt;561
Reconnaissances;2015;17ème arrdt;547
Reconnaissances;2016;11ème arrdt;630
Reconnaissances;2018;2ème arrdt;92
Reconnaissances;2020;19ème arrdt;717
Mariages;2004;20ème arrdt;954
Mariages;2005;12ème arrdt;663
Mariages;2007;13ème arrdt;810
Mariages;2008;1er arrdt;101
Mariages;2008;3ème arrdt;231
Mariages;2008;5ème arrdt;277
Mariages;2008;13ème arrdt;756
Mariages;2008;14ème arrdt;544
Mariages;2009;19ème arrdt;921
Mariages;2010;1er arrdt;115
Mariages;2010;13ème arrdt;642
Mariages;2012;10ème arrdt;373
Mariages;2013;15ème arrdt;966
Mariages;2013;16ème arrdt;762
Mariages;2016;6ème arrdt;212
Mariages;2017;9ème arrdt;288
Mariages;2019;20ème arrdt;636
Mariages;2020;9ème arrdt;159
Décès;2004;19ème arrdt;452
Décès;2006;9ème arrdt;106
Décès;2006;19ème arrdt;543
Décès;2007;20ème arrdt;1301
Décès;2008;5ème arrdt;538
Décès;2008;8ème arrdt;130
Décès;2009;10ème arrdt;1382
Décès;2009;11ème arrdt;290
Décès;2011;7ème arrdt;170
Décès;2011;11ème arrdt;246
Décès;2012;1er arrdt;27
Décès;2014;7ème arrdt;145
Décès;2015;13ème arrdt;2228
Décès;2016;8ème arrdt;90
Décès;2017;2ème arrdt;27
Décès;2018;13ème arrdt;2211
Décès;2019;8ème arrdt;88
Décès;2019;9ème arrdt;103
PACS;2017;2ème arrdt;50
PACS;2017;7ème arrdt;47
PACS;2017;16ème arrdt;108
PACS;2017;17ème arrdt;151
PACS;2019;16ème arrdt;281
Naissances;2004;4ème arrdt;5
Naissances;2004;18ème arrdt;2434
Naissances;2005;8ème arrdt;0
Naissances;2005;13ème arrdt;3601
Naissances;2008;7ème arrdt;5
Naissances;2008;16ème arrdt;1179
Naissances;2009;2ème arrdt;1
Naissances;2009;8ème arrdt;1
Naissances;2010;16ème arrdt;1602
Naissances;2011;7ème arrdt;1
Naissances;2013;5ème arrdt;1
Naissances;2014;12ème arrdt;9432
Naissances;2015;1er arrdt;0
Naissances;2015;8ème arrdt;4
Naissances;2016;4ème arrdt;1
Naissances;2018;19ème arrdt;3125
Naissances;2020;2ème arrdt;0
Naissances;2020;13ème arrdt;2874
Reconnaissances;2004;12ème arrdt;1980
Reconnaissances;2004;18ème arrdt;1991
Reconnaissances;2005;8ème arrdt;139
Reconnaissances;2005;10ème arrdt;913
Reconnaissances;2007;5ème arrdt;150
Reconnaissances;2010;12ème arrdt;845
Reconnaissances;2011;12ème arrdt;740
Reconnaissances;2012;14ème arrdt;724
Reconnaissances;2013;9ème arrdt;211
Reconnaissances;2014;4ème arrdt;96
Reconnaissances;2015;16ème arrdt;267
Reconnaissances;2016;2ème arrdt;109
Reconnaissances;2018;5ème arrdt;129
Reconnaissances;2019;1er arrdt;47
Reconnaissances;2020;13ème arrdt;760
Mariages;2005;16ème arrdt;803
Mariages;2006;2ème arrdt;119
Mariages;2009;11ème arrdt;619
Mariages;2010;14ème arrdt;588
Mariages;2010;17ème arrdt;563
Mariages;2011;19ème arrdt;916
Mariages;2012;8ème arrdt;196
Mariages;2013;2ème arrdt;127
Mariages;2013;4ème arrdt;158
Mariages;2013;9ème arrdt;303
Mariages;2014;6ème arrdt;201
Mariages;2014;8ème arrdt;221
Mariages;2014;19ème arrdt;868
Mariages;2015;5ème arrdt;291
Mariages;2015;6ème arrdt;216
Mariages;2015;16ème arrdt;796
Mariages;2016;16ème arrdt;749
Mariages;2018;1er arrdt;104
Mariages;2018;7ème arrdt;287
Mariages;2018;8ème arrdt;199
Mariages;2018;20ème arrdt;586
Mariages;2019;11ème arrdt;594
Mariages;2019;19ème arrdt;847
Mariages;2020;4ème arrdt;58
Décès;2004;7ème arrdt;231
Décès;2005;18ème arrdt;1428
Décès;2006;10ème arrdt;1433
Décès;2009;2ème arrdt;42
Décès;2009;18ème arrdt;1411
Décès;2010;10ème arrdt;1344
Décès;2014;6ème arrdt;106
Décès;2015;8ème arrdt;104
Décès;2016;16ème arrdt;1022
Décès;2018;10ème arrdt;1351
PACS;2017;5ème arrdt;75
PACS;2018;16ème arrdt;296
PACS;2018;18ème arrdt;964
PACS;2020;7ème arrdt;148
PACS;2020;15ème arrdt;782
PACS;2020;19ème arrdt;508
Naissances;2004;2ème arrdt;1
Naissances;2006;18ème arrdt;2137
Naissances;2007;11ème arrdt;1144
Naissances;2011;8ème arrdt;3
Naissances;2011;14ème arrdt;9804
Naissances;2013;3ème arrdt;0
Naissances;2014;2ème arrdt;0
Naissances;2014;8ème arrdt;4
Naissances;2014;13ème arrdt;3427
Naissances;2016;5ème arrdt;4
Naissances;2016;19ème arrdt;3102
Naissances;2016;20ème arrdt;1869
Naissances;2017;2ème arrdt;1
Naissances;2017;7ème arrdt;1
Naissances;2017;11ème arrdt;9
Naissances;2017;17ème arrdt;1289
Naissances;2018;8ème arrdt;2
Naissances;2018;14ème arrdt;11140
Naissances;2018;18ème arrdt;2141
Naissances;2019;19ème arrdt;3103
Naissances;2020;18ème arrdt;2061
Reconnaissances;2006;4ème arrdt;124
Reconnaissances;2007;1er arrdt;61
Reconnaissances;2007;9ème arrdt;285
Reconnaissances;2009;3ème arrdt;138
Reconnaissances;2009;9ème arrdt;250
Reconnaissances;2010;8ème arrdt;125
Reconnaissances;2011;4ème arrdt;110
Reconnaissances;2012;3ème arrdt;109
Reconnaissances;2012;5ème arrdt;131
Reconnaissances;2013;14ème arrdt;752
Reconnaissances;2013;17ème arrdt;541
Reconnaissances;2013;20ème arrdt;993
Reconnaissances;2014;1er arrdt;64
Reconnaissances;2015;18ème arrdt;1195
Reconnaissances;2016;7ème arrdt;89
Reconnaissances;2017;4ème arrdt;89
Reconnaissances;2017;13ème arrdt;874
Reconnaissances;2018;18ème arrdt;1151
Reconnaissances;2019;12ème arrdt;646
Mariages;2004;3ème arrdt;250
Mariages;2004;18ème arrdt;992
Mariages;2005;11ème arrdt;786
Mariages;2006;16ème arrdt;809
Mariages;2007;14ème arrdt;516
Mariages;2008;16ème arrdt;749
Mariages;2010;9ème arrdt;275
Mariages;2011;14ème arrdt;533
Mariages;2013;10ème arrdt;448
Mariages;2015;2ème arrdt;142
Mariages;2015;9ème arrdt;281
Mariages;2015;12ème arrdt;568
Mariages;2015;17ème arrdt;493
Mariages;2015;18ème arrdt;685
Mariages;2015;20ème arrdt;710
Mariages;2016;12ème arrdt;518
Mariages;2016;14ème arrdt;520
Mariages;2019;16ème arrdt;789
Mariages;2020;6ème arrdt;130
Décès;2004;17ème arrdt;339
Décès;2005;13ème arrdt;1956
Décès;2007;2ème arrdt;42
Décès;2008;6ème arrdt;97
Décès;2009;5ème arrdt;569
Décès;2010;20ème arrdt;1166
Décès;2012;9ème arrdt;87
Décès;2012;10ème arrdt;1370
Décès;2013;7ème arrdt;186
Décès;2013;12ème arrdt;1625
Décès;2014;5ème arrdt;666
Décès;2014;18ème arrdt;1370
Décès;2014;19ème arrdt;1138
Décès;2017;10ème arrdt;1341
Décès;2017;14ème arrdt;2088
Décès;2017;18ème arrdt;1676
Décès;2020;11ème arrdt;371
Décès;2020;16ème arrdt;1074
PACS;2018;4ème arrdt;125
PACS;2018;9ème arrdt;296
PACS;2018;10ème arrdt;501
PACS;2018;20ème arrdt;711
PACS;2019;3ème arrdt;184
PACS;2019;20ème arrdt;665
PACS;2020;16ème arrdt;237
Naissances;2004;10ème arrdt;1759
Naissances;2005;14ème arrdt;10503
Naissances;2006;13ème arrdt;3541
Naissances;2007;3ème arrdt;1
Naissances;2007;9ème arrdt;0
Naissances;2007;18ème arrdt;2176
Naissances;2007;20ème arrdt;2237
Naissances;2008;2ème arrdt;1
Naissances;2008;15ème arrdt;5125
Naissances;2009;1er arrdt;2
Naissances;2010;3ème arrdt;4
Naissances;2012;4ème arrdt;1
Naissances;2012;14ème arrdt;10380
Naissances;2013;15ème arrdt;6111
Naissances;2016;2ème arrdt;0
Naissances;2017;12ème arrdt;8871
Naissances;2018;13ème arrdt;3077
Reconnaissances;2006;1er arrdt;74
Reconnaissances;2006;3ème arrdt;183
Reconnaissances;2007;12ème arrdt;885
Reconnaissances;2007;17ème arrdt;659
Reconnaissances;2008;1er arrdt;54
Reconnaissances;2009;11ème arrdt;792
Reconnaissances;2013;8ème arrdt;115
Reconnaissances;2013;12ème arrdt;844
Reconnaissances;2014;8ème arrdt;106
Reconnaissances;2014;18ème arrdt;1332
Reconnaissances;2015;15ème arrdt;917
Reconnaissances;2017;18ème arrdt;1206
Reconnaissances;2018;8ème arrdt;133
Reconnaissances;2018;19ème arrdt;789
Reconnaissances;2019;7ème arrdt;76
Mariages;2004;13ème arrdt;806
Mariages;2004;15ème arrdt;1057
Mariages;2006;8ème arrdt;237
Mariages;2007;20ème arrdt;797
Mariages;2008;8ème arrdt;214
Mariages;2009;16ème arrdt;750
Mariages;2010;8ème arrdt;231
Mariages;2010;18ème arrdt;744
Mariages;2012;2ème arrdt;111
Mariages;2012;5ème arrdt;280
Mariages;2013;18ème arrdt;746
Mariages;2014;7ème arrdt;287
Mariages;2015;4ème arrdt;133
Mariages;2015;7ème arrdt;281
Mariages;2016;9ème arrdt;314
Mariages;2016;15ème arrdt;876
Mariages;2018;2ème arrdt;122
Mariages;2018;11ème arrdt;626
Mariages;2018;18ème arrdt;804
Mariages;2020;3ème arrdt;208
Mariages;2020;10ème arrdt;230
Décès;2004;3ème arrdt;56
Décès;2008;17ème arrdt;344
Décès;2008;18ème arrdt;1449
Décès;2008;20ème arrdt;1249
Décès;2009;16ème arrdt;936
Décès;2010;12ème arrdt;1639
Décès;2010;19ème arrdt;858
Décès;2011;5ème arrdt;641
Décès;2012;5ème arrdt;678
Décès;2014;4ème arrdt;55
Décès;2014;17ème arrdt;346
Décès;2015;12ème arrdt;1637
Décès;2017;12ème arrdt;1518
Décès;2019;4ème arrdt;53
PACS;2018;3ème arrdt;182
PACS;2018;15ème arrdt;1002
PACS;2020;18ème arrdt;798
Naissances;2006;3ème arrdt;2
Naissances;2006;5ème arrdt;3
Naissances;2006;16ème arrdt;1134
Naissances;2006;20ème arrdt;2115
Naissances;2007;16ème arrdt;1054
Naissances;2008;5ème arrdt;1
Naissances;2008;19ème arrdt;2953
Naissances;2010;1er arrdt;1
Naissances;2010;12ème arrdt;10226
Naissances;2011;16ème arrdt;1345
Naissances;2013;9ème arrdt;2
Naissances;2014;16ème arrdt;1319
Naissances;2015;9ème arrdt;4
Naissances;2015;12ème arrdt;9691
Naissances;2015;14ème arrdt;10586
Naissances;2015;20ème arrdt;2615
Naissances;2016;11ème arrdt;5
Naissances;2018;2ème arrdt;2
Naissances;2019;17ème arrdt;1080
Naissances;2019;20ème arrdt;2611
Naissances;2020;5ème arrdt;3
Naissances;2020;11ème arrdt;7
Naissances;2020;20ème arrdt;2558
Reconnaissances;2004;1er arrdt;79
Reconnaissances;2004;6ème arrdt;136
Reconnaissances;2004;17ème arrdt;918
Reconnaissances;2005;4ème arrdt;137
Reconnaissances;2005;6ème arrdt;120
Reconnaissances;2005;14ème arrdt;1073
Reconnaissances;2006;9ème arrdt;311
Reconnaissances;2007;7ème arrdt;105
Reconnaissances;2009;2ème arrdt;96
Reconnaissances;2009;5ème arrdt;152
Reconnaissances;2010;3ème arrdt;137
Reconnaissances;2010;13ème arrdt;938
Reconnaissances;2011;7ème arrdt;96
Reconnaissances;2011;8ème arrdt;106
Reconnaissances;2011;19ème arrdt;1104
Reconnaissances;2013;2ème arrdt;84
Reconnaissances;2013;13ème arrdt;934
Reconnaissances;2013;16ème arrdt;283
Reconnaissances;2015;7ème arrdt;89
Reconnaissances;2016;6ème arrdt;99
Reconnaissances;2016;16ème arrdt;265
Reconnaissances;2017;8ème arrdt;126
Reconnaissances;2017;16ème arrdt;261
Reconnaissances;2020;6ème arrdt;61
Reconnaissances;2020;18ème arrdt;949
Mariages;2004;17ème arrdt;633
Mariages;2005;14ème arrdt;663
Mariages;2005;20ème arrdt;980
Mariages;2008;15ème arrdt;953
Mariages;2009;13ème arrdt;778
Mariages;2010;5ème arrdt;287
Mariages;2010;6ème arrdt;206
Mariages;2010;15ème arrdt;924
Mariages;2011;7ème arrdt;247
Mariages;2012;15ème arrdt;996
Mariages;2013;3ème arrdt;250
Mariages;2014;9ème arrdt;316
Mariages;2018;17ème arrdt;525
Mariages;2019;3ème arrdt;224
Mariages;2020;1er arrdt;39
Mariages;2020;20ème arrdt;393
Décès;2004;5ème arrdt;623
Décès;2004;15ème arrdt;2744
Décès;2005;1er arrdt;35
Décès;2005;6ème arrdt;114
Décès;2007;17ème arrdt;386
Décès;2008;12ème arrdt;1534
Décès;2010;2ème arrdt;38
Décès;2011;1er arrdt;47
Décès;2011;14ème arrdt;1973
Décès;2012;4ème arrdt;248
Décès;2013;10ème arrdt;1364
Décès;2013;13ème arrdt;2200
Décès;2013;19ème arrdt;1160
Décès;2014;10ème arrdt;1348
Décès;2015;4ème arrdt;44
Décès;2018;11ème arrdt;280
Décès;2019;15ème arrdt;3505
Décès;2019;18ème arrdt;1500
Décès;2020;3ème arrdt;64
PACS;2017;13ème arrdt;123
PACS;2018;19ème arrdt;652
PACS;2019;7ème arrdt;147
PACS;2019;14ème arrdt;574
